,job_id,title,company,location,date_posted,description,job_function
0,4261419734,DATA ENGINEER CONFIRME (IT),RED TIC,"Tunis, Tunis, Tunisia",2025-07-03,"CDD
Tunis
Publié il y a 4 mois
RED TIC recherche un(e)
Data Engineer Confirmé(e)
pour renforcer notre équipe data et contribuer à la conception, au développement et à l’optimisation de pipelines de données robustes et scalables. Vous jouerez un rôle clé dans la valorisation de la donnée, en assurant sa qualité, sa disponibilité et son exploitation efficace par les équipes analytiques et métiers.
Missions
Concevoir, développer et maintenir des pipelines ETL/ELT pour l’ingestion, la transformation et la distribution de données.
Optimiser les performances des traitements de données, en assurant leur fiabilité et leur scalabilité.
Collaborer avec les Data Scientists, Analysts et équipes métiers pour répondre à leurs besoins en données.
Participer à la mise en place de solutions de data lake, data warehouse ou plateforme analytique cloud (BigQuery, Snowflake, Redshift…).
Mettre en œuvre les bonnes pratiques de gouvernance, de sécurité et de qualité des données.
Documenter les architectures, les flux de données et les processus techniques.
Profil Recherché
Bac+5 en informatique, data engineering ou équivalent.
Expérience confirmée (3 à 5 ans) en tant que Data Engineer dans des environnements data complexes.
Maîtrise avancée de SQL et d’un langage de programmation (Python, Scala…).
Solide expérience sur les outils et frameworks de traitement de données (Airflow, Spark, DBT…).
Connaissance des environnements cloud (GCP, AWS, Azure) et des architectures orientées données.
Bonne compréhension des enjeux de qualité, sécurité et gouvernance des données.
Esprit analytique, rigueur et capacité à travailler en équipe.
Pourquoi nous rejoindre ?
Pour intégrer une équipe passionnée et experte dans l’écosystème data.
Pour travailler sur des projets à fort impact au cœur de la transformation digitale.
Pour bénéficier d’un environnement agile, stimulant et en constante évolution technologique.
recruitment consulting management training sourcing job jobs offer internship morocco africa java développement developpement développeur developpeur informatique application it jee android consultant devops fullstack. D’abord. Tout d’abord. En premier lieu. Ensuite, de plus. Finalement. En outre. Par ailleurs. En dernier lieu. enfin. D’abord, En premier lieu, Pour commencer, Premièrement, En conclusions ur conclure, Enfn, Finalement, En dernier lieu, bien que. il y a aussi il est vrai que… mais. tout en reconnaissant que… on peut supposer que. Par exemple . En fait . Prenons le cas de. Considérons, par exemple. L’exemple le plus r. Cependant. Mais. Pourtant. Toutefois. Néanmoins. Contraste. Alors que. Tandis que. Par contre. En revanche
Data
Nom et Prénom
Adresse Email
Mobile
Niveau d étude
Bac Bac +1 Bac +2 Bac +3 Bac +4 Bac +5 Bac + X
Années d’Expérience
0 +1 +2 +3 +4 +5 +6 +7 +8 +9 + 10
Préavis
Disponible immédiatement -1 mois 1 mois 2 mois +2 mois
Message
Upload CV
Téléverser votre CV ou tout autre document relatif. Taille max: 2 MB.
Show more
Show less",Information Technology
1,4316247781,Junior Data Analyst H/F,EY,"Tunis, Tunisia",2025-10-23,"EY is currently looking for a
Data Analyst with Python knowledge and with a good French level - Junior
to join our Tax Technology practice.
Key Responsibilities
Assist with importing, cleansing, and correcting accounting data to prepare it for analysis using Python/Pandas/Excel
Ability in interpreting accounting data and analyzing results using different techniques
Experience in data models and data sets, variety of data sources and data cleaning methods
Perform reconciliations of tax and accounting data to financial statements and other accounting records
Create reports and presentations to help communicate data findings to team members
Participate in team meeting and drafting meeting notes
Develop a strong understanding of business requirements; working with business users/ business analysts to define probable solutions.
Qualification & Experience Required
Bachelors / master’s degree in accounting / information Technology / business analytics or related field.
Basic knowledge of accounting principles and practices is a must.
No less than 1 year of hands-on experience with data manipulation (Analysis) using Python/Pandas
Must have knowledge in relational databases, Hands on experience in SQL Queries
Strong verbal and written communications skills in French and English.
Mastery of Pack Office
In the context of its Diversity policy, EY considers, on an equal skills basis, all applications, including those from individuals with disabilities. EY offers a multitude of experiences to live, numerous sectors to explore, and extraordinary encounters
.
Live the EY experience, join us!
Show more
Show less",Consulting
2,4292525986,Fully Remote Software Engineer - Tunisia,Everything To Gain,Tunisia,2025-08-28,"Everything To Gain is excited to welcome a Fully Remote Software Engineer based in Tunisia to our growing team. In this role, you will be instrumental in developing innovative software solutions that empower our clients and enhance our internal operations. You will work within a collaborative environment, leveraging your technical skills to design, implement, and maintain various software applications. If you are driven by a desire to solve complex problems and create impactful technology, we want to hear from you!
Responsibilities
Develop, test, and maintain software applications that meet business requirements
Collaborate with product teams to define, design, and ship new features
Troubleshoot, debug, and optimize existing applications
Participate in code reviews to ensure code quality and promote best practices
Keep up-to-date with emerging technologies and industry trends to drive continuous improvement
Requirements
Strong experience with programming languages such as Python and JavaScript
Proficient in web application development, with knowledge of relevant frameworks
Experience using version control systems, particularly Git
Familiarity with Agile methodologies for software development
Strong analytical and problem-solving skills
Ability to work independently and in a team-oriented environment
Excellent communication skills in both written and verbal form
Knowledge of database management systems like MySQL or MongoDB is a plus
Benefits
Unlimited paid time off - we trust you to balance your work and life
Remote-first - work from anywhere in the world
Tech setup - we'll provide equipment if needed, based on role requirements
Work closely with founders and take a lead role in shaping a fast-growing company's visual identity
Join a high-performance, design-forward culture that values creativity, autonomy, and impact
Show more
Show less",Other
3,4316346287,Data Analyst,PwC Tunisia,"Tunis, Tunisia",2025-10-17,"PwC est l’un des plus grands cabinets d’audit et de conseil au monde, présent dans plus de 150 pays. Afin d’accompagner ses clients dans un environnement en perpétuelle transformation, PwC a mis en place les Technology Acceleration Centers (TAC), des hubs stratégiques dédiés à l’excellence opérationnelle et à l’innovation technologique.
Le PwC TAC Tunisie s’inscrit pleinement dans cette dynamique, en jouant un rôle central dans la transformation digitale des entreprises. Il conjugue expertise locale et standards internationaux pour accompagner les bureaux PwC ainsi que leurs clients à l’échelle mondiale. Le centre propose des solutions sur mesure alignées aux meilleures pratiques du marché dans des domaines clés tels que la transformation numérique, l’analyse de données et l’intelligence artificielle, la cybersécurité, le cloud computing, la gestion des plateformes technologiques et l’intégration SAP.
PwC TAC est à la recherche d’un
Data Analyst.
Missions Principales :
Collecter, nettoyer et organiser les données provenant de différentes sources.
Effectuer des analyses de données pour identifier les tendances et les modèles.
Créer des rapports et des visualisations pour présenter les résultats aux parties prenantes.
Collaborer avec les équipes internes pour définir les besoins en données et les métriques clés.
Participer à l'amélioration continue des processus de collecte et d'analyse de données.
Assurer la qualité et l'intégrité des données accessibles.
Contribuer à la création et à la gestion des bases de données et des systèmes de reporting.
Compétences Requises :
Expérience préalable de 2 à 3 ans en tant que Data Analyst ou dans un poste similaire
Maîtrise des outils d'analyse de données et un ou plusieurs outils de visualisation de données (Tableau, Power BI, etc.).
Solide capacité d'analyse
Anglais requis
Excellentes compétences en communication pour transmettre des informations complexes de manière claire
Show more
Show less",Analyst
4,4304224854,Junior AI Engineer,Devoteam,"Tunis, Tunis, Tunisia",2025-10-23,"Chez Devoteam, nous sommes des « Digital Transformakers ». Le respect, la franchise et la passion animent chaque jour notre tribu.
Ensemble, nous aidons nos clients à remporter la bataille du Digital : du conseil à la mise en œuvre de technologies innovantes, jusqu’à l’adoption des usages.
AI, Cloud, Cybersecurity, Data, DevOps, Fullstack Dev, Low Code, RPA n’ont plus aucun secret pour notre tribu !
Nos 12 000+ collaborateurs sont certifiés, formés et accompagnés au quotidien pour relever de nouveaux challenges innovants.
Leader du Cloud, de la Cybersécurité et de la Data en EMEA, le Groupe Devoteam a réalisé en 2023 un chiffre d’affaires de 1,3 milliard d’euros et se donne pour ambition de le doubler dans les 5 années à venir.
Devoteam Tunisie, filiale de Devoteam Group, est génératrice de valeur depuis plus de 15 années. Travaillant à la fois à l'échelle africaine et internationale, notre équipe compte plus de 160 consultant(e)s pluridisciplinaires doté(e)s de compétences variées (consultants en transformation digitale, développeurs, chefs de projets, experts en data et cybersécurité) travaillant sur des projets enrichissants et innovants.
Description Du Poste
🧠 Missions
En tant qu’AI Engineer junior, vous serez amené(e) à :
Participer à la conception et à l'entraînement de modèles NLP (similarité de profils, classification, recommandation)
Intégrer des algorithmes de scoring et matching IA dans les flux applicatifs
Contribuer à la création d’outils d’analyse sémantique (vectorisation, embeddings, etc.)
Collaborer avec des développeurs full-stack sur l'intégration front/back des modèles IA
Documenter et tester vos modèles pour garantir leur qualité et leur fiabilité
Participer aux cérémonies agiles (daily, sprint planning, démo)
Qualifications
🧰 Compétences requises
Techniques
:
Connaissances en Machine Learning & NLP (scikit-learn, spaCy, transformers, etc.)
Maîtrise de Python et des bibliothèques IA (pandas, numpy, gensim, HuggingFace…)
Expérience avec des APIs de recherche (Google CSE, LinkedIn, etc.) est un plus
Notions en développement REST APIs ou intégration cloud (GCP, Azure ou AWS) sont un plus
Informations supplémentaires
✅ Profil recherché
Diplômé(e) d’une école d’ingénieur, master en IA, data science ou informatique
0 à 2 ans d'expérience (stage ou projet significatif accepté)
Un portfolio, un projet GitHub ou un Kaggle est un plus
Show more
Show less",Engineering
5,4184805966,Data Analyst,Enovis,"Sfax, Sfax, Tunisia",2025-10-15,"Job Description
Performs statistical modeling and analysis of structured and unstructured datasets to develop metrics, reports and visualizations of trends and patterns. Works with technology organization and business end-users to understand data and analysis needs and develop technical requirements. Partners with development and data management roles to identify and capture data required from internal and external sources. Creates and maintains statistical models for ongoing and ad hoc review and analysis of data. Uses data visualization programs, tools and techniques to generate dashboards, reports and presentations that aid in data storytelling, understanding and interpretation of trends and patterns of business importance. A seasoned, experienced professional with complete understating of principals, concepts, practices and standards. Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors. Typically requires a degree and a minimum of 5 years of experience.
About Enovis™
Enovis Corporation (NYSE: ENOV) is an innovation-driven medical technology growth company dedicated to developing clinically differentiated solutions that generate measurably better patient outcomes and transform workflows. Powered by a culture of continuous improvement, global talent and innovation, the Company’s extensive range of products, services and integrated technologies fuels active lifestyles in orthopedics and beyond. For more information about Enovis, please visit www.enovis.com.
At Enovis, we are committed to providing equal employment opportunities to all individuals. Employment decisions are based solely on merit, qualifications, and the needs of the business. We uphold a policy of equal treatment for all employees and applicants, without discrimination based on race, color, religion, national origin, sex, sexual orientation, gender identity, age, veteran status, disability, or any other characteristics unrelated to a person’s qualifications or job performance. This commitment extends to all aspects of employment, including recruitment, hiring, job assignments, compensation, training, promotion, demotion, transfers, layoffs, discipline, and separation, as well as all other terms and conditions of employment.
Show more
Show less",Information Technology
6,4302718454,AI Software Engineer,Medius,"Tunis, Tunisia",2025-09-19,"About Us
At Medius, we believe managing finance should be about strategy, not stress. That same mindset shapes not only the solutions we build, but also the culture we create for our people. We remove complexity, embrace innovation, and give our teams the freedom to focus on what truly matters — whether that’s transforming the future of finance with AI or finding balance to go home on time.
Founded in Sweden in 2001, Medius has grown from a local startup into a global leader in cloud-based spend management solutions. Today, thousands of organizations worldwide trust us to simplify accounts payable and spend management processes. Our journey has been driven by continuous innovation, a passion for technology, and above all — the people who make it happen.
We’re more than a software company. We’re a team of problem-solvers, innovators and collaborators working together to reinvent the category of accounts payable. Our solutions use Artificial Intelligence to eliminate manual work, bring clarity, confidence, and control, and empower finance teams of the future.
At Medius,
our values guide how we work and grow together:
Connect
– We believe in the power of people—individually and collectively—and our success depends on understanding and respecting each other. We appreciate that ‘empowering finance teams of the future’ is an exciting endeavor, and we share it with everyone around us.
Question
– We enjoy the challenge of our work and the thrill of collaboration. We are not afraid to question ourselves and each other because we believe diverse perspectives can lead to better outcomes and that there is great power in resolution.
Own
– We are thorough, thoughtful, and decisive. We anticipate what’s next, what a customer might need, and then we deliver. That’s how we get things done. And that’s how we remain a leader. Customers trust us to do our job so that they can focus on what they do best.
At Medius, you’ll join a diverse, global community where curiosity is celebrated, ideas matter, and innovation never stops. If you’re passionate about technology, eager to make an impact, and ready to grow alongside a team that lives its values, Medius is where you can do your best work — your impact is global.
Lear more at www.medius.com
Job overview
You’re perfect for this role if you:
Are passionate about coding and curious about how AI can transform the way people work.
Enjoy experimenting, prototyping, and learning fast in an agile environment.
Want to grow your skills by contributing to the development of AI agents, chatbots, and internal productivity tools.
Are comfortable working with both technical concepts (APIs, databases, LLMs) and user-facing features.
Are eager to learn from senior engineers, a Tech Lead, and Data Scientists, while also contributing with your own ideas.
Responsibilities and Duties
Contribute to the design, development, and maintenance of AI-powered solutions (chatbots, agents, integrations).
Implement features under the guidance of senior developers and the Tech Lead.
Write clean, maintainable, and testable code following established coding standards.
Work with APIs (e.g., OpenAI, Azure, Salesforce, SharePoint) to integrate external data into solutions.
Support prototyping and experimentation with new AI technologies, frameworks, and models.
Participate in code reviews, testing, and debugging to ensure solution reliability.
Collaborate with Product Owner and team members to translate user stories into technical tasks.
Document solutions and contribute to knowledge sharing within the team.
Success Criteria / KPIs
1. Code Quality & Learning
90% of contributions pass code review with minimal rework.
Demonstrated improvement in coding practices and architecture understanding after 6–12 months.
Active participation in code reviews and technical discussions.
2. Delivery &
Reliability
Consistently delivers tasks on time and within scope.
Number of bugs or incidents traced back to code is minimized (<5% of tasks delivered).
Successful implementation of at least
X new features or enhancements per quarter
.
3. Collaboration &
Growth
Positive feedback from Tech Lead and team on collaboration and learning progress.
Increasing autonomy over time (less guidance needed for recurring tasks).
Active contributions to team knowledge base (documentation, demos, lessons learned).
4. Innovation & Impact
Participation in prototyping and testing new AI features.
At least one initiative or idea per quarter suggested to improve solutions or workflows.
Please send your resume in English (
resumes in French will be automatically rejected).
Show more
Show less",Engineering and Information Technology
7,4315253019,Data Scientist/ML Engineer,Gravitas,"Tunis, Tunis, Tunisia",2025-10-16,"About Us
WHY Linedata?
Linedata is an award-winning software solutions company. We believe finance matters to our society as much as energy to life and fueling financial transformation is vital for development and leadership.
We Humanize Technology
We are passionate experts who provide investment management and credit communities with innovative, user-friendly products which help their businesses grow in over 50 countries
Our environment is international, ego-free and relaxed. We believe in building confidence through giving clear responsibilities to our team members and managing to given goals and targets. We celebrate success and we enjoy each other’s company
We employ more than 1350 employees representing 40 nationalities spread throughout our offices in 14 countries. We believe in mobility, diversity & teamwork.
Our mission is to continue to find new ways to create and build flexible, mission-critical software and services and to stay on the cutting edge of the financial software space.
JOIN THE MOVEMENT
We provide the investment management and credit communities with an innovative, user-friendly suite of products that, through detailed market and client insights, help their business to grow in over 50 countries.
We are transforming the financial services community which is in constant evolution.
With our agility, we make technology simple & accessible for our users. Let’s work together to achieve the best solutions for our clients.
Commitment to Diversity
We recognize, celebrate, and seek to increase diversity across our organization. Diversity is an asset to organizations and is linked to better performance. It is an integral part of how we do business and imperative to our success. As an international Group, we also believe that our people need to reflect our clients and local communities.
Linedata is an Equal Opportunity Employer. We are committed to complying with all federal, state, and local laws providing equal employment opportunities, and all other employment laws and regulations.
It is our intent to maintain a work environment that is free of harassment, discrimination, or retaliation based on an individual's race, color, religion, religious creed, national origin, ancestry, citizenship, physical or mental disability, medical condition, genetic information, marital status, sex, gender, age, sexual orientation, veteran and/or military status, protected medical leaves, domestic violence victim status, political affiliation, or any other status protected by federal, state, or local laws.
Job Description
Linedata est éditeur mondial de logiciels, fournisseur de services et données à valeur ajoutée dédié au secteur financier. Linedata accompagne ses clients gestionnaires d’actifs, traditionnels ou alternatifs, administrateurs de fonds et institutions de crédits et financements, dans leurs défis, grâce à des solutions innovantes et efficaces.
Avec plus de 25 ans d’expérience dans le domaine de la FinTech, Linedata propose à ses équipes tout au long de leur carrière la possibilité de construire une forte expertise alliant finance et technologie dans un environnement international stimulant.
Nous Humanisons La Technologie
Parce que nous sommes indépendants, fiables, accessibles et engagés, parce que nos équipes sont soudées, à l'écoute, attentionnées et passionnées, parce que nos experts sont à la fois des partenaires spécialisés et attentifs, nous nous surpassons pour créer des solutions globales de leadership.
Stimulés par un environnement en transformation et par nos clients qui ont besoin de s’y adapter, enthousiasmés par les entreprises collaboratives partageant notre esprit entrepreneurial et nos ambitions, nous révélons leur puissance créative pour faire circuler l'argent et alimenter l'économie, nous aidons les gens à développer leurs capacités et leur dignité pour les générations futures.
Contexte du poste
Dans le cadre de sa croissance,
Linedata
, éditeur de référence dans le domaine de l’Asset Management et les crédits & Financement destinés aux
institutions financières
, recherche un
Data Scientist / ML Engineer
passionné par la donnée et l’intelligence artificielle.
Vous intégrerez une équipe déjà en place, qui collabore avec les experts métiers et les équipes de développement, pour concevoir, mettre en œuvre et industrialiser des modèles analytiques au service de la performance et de la prise de décision.
Job Requirement
Missions principales
Concevoir, développer et déployer des modèles de machine learning et d’IA générative répondant aux besoins des métiers financiers ;
Analyser et valoriser les données internes et externes afin de générer des insights exploitables ;
Participer à la constitution et à la structuration des data pipelines en collaboration avec les Data Engineers ;
Contribuer à la mise en place de solutions d’industrialisation et de monitoring des modèles ;
Collaborer étroitement avec les équipes produit et les experts métiers pour traduire les besoins fonctionnels en solutions data ;
Réaliser des études exploratoires, prototypes et POC pour valider les approches analytiques ;
Assurer une veille technologique sur les nouvelles méthodes et outils d’analyse de données.
Compétences techniques requises
Maîtrise des langages de programmation Python (pandas, scikit-learn, PyTorch, TensorFlow, etc.) ;
Solide compréhension des techniques de machine learning, deep learning et statistiques appliquées ;
Bonne connaissance des bases de données SQL / NoSQL et des environnements cloud (AWS, Azure, GCP) ;
La connaissance d’outils de data visualisation (Power BI, Tableau, Plotly, etc.) est un plus ;
Connaissance des bonnes pratiques d’industrialisation (Git, CI/CD, APIs, Docker, etc.) ;
La connaissance du domaine financier (marchés, risques, conformité, asset management, etc.) est un atout majeur.
Profil recherché
Diplôme d’ingénieur ou Master (Bac+5) en data science, mathématiques appliquées, informatique, statistiques ou équivalent ;
Expérience de 2 à 5 ans minimum dans un poste similaire (une première expérience dans le secteur financier est un plus) ;
Bonne maîtrise des modèles NLP / IA générative open source (manage services et déploiement local) ;
Solides capacités analytiques et rigueur scientifique ;
Esprit d’équipe, sens du service et excellente communication ;
Curiosité technologique et envie de travailler dans un environnement innovant et collaboratif.
Engagement Pour La Diversité
Nous reconnaissons, célébrons et cherchons à accroître la diversité dans notre organisation. La diversité est un atout pour les organisations et est liée à une meilleure performance. Elle fait partie intégrante de notre façon de travailler et est impérative pour notre succès. En tant que Groupe international, nous pensons également que nos collaborateurs doivent refléter nos clients et les communautés locales.
Linedata est un employeur qui respecte l'égalité des chances. Nous nous engageons à respecter toutes les lois fédérales, étatiques et locales prévoyant l'égalité des chances en matière d'emploi, ainsi que toutes les autres lois et réglementations en la matière.
Nous nous engageons maintenir un environnement de travail exempt de harcèlement, de discrimination ou de représailles fondés sur la race, la couleur, la religion, la croyance religieuse, l'origine nationale, l'ascendance, la citoyenneté, le handicap physique ou mental, la condition médicale, l'information génétique, le statut marital, le sexe, le genre, l'âge, l'orientation sexuelle, le statut de vétéran et/ou de militaire, les congés médicaux protégés, le statut de victime de violence domestique, l'affiliation politique ou tout autre statut protégé par les lois fédérales, provinciales ou locales.
Show more
Show less",Engineering and Information Technology
8,4314034782,Data Scientist/ML Engineer,Linedata,"Tunis, Tunisia",2025-10-13,,
9,4315282249,Data Scientist/ML Engineer,Loansquare,"Tunis, Tunis, Tunisia",2025-10-16,"About Us
WHY Linedata?
Linedata is an award-winning software solutions company. We believe finance matters to our society as much as energy to life and fueling financial transformation is vital for development and leadership.
We Humanize Technology
We are passionate experts who provide investment management and credit communities with innovative, user-friendly products which help their businesses grow in over 50 countries
Our environment is international, ego-free and relaxed. We believe in building confidence through giving clear responsibilities to our team members and managing to given goals and targets. We celebrate success and we enjoy each other’s company
We employ more than 1350 employees representing 40 nationalities spread throughout our offices in 14 countries. We believe in mobility, diversity & teamwork.
Our mission is to continue to find new ways to create and build flexible, mission-critical software and services and to stay on the cutting edge of the financial software space.
JOIN THE MOVEMENT
We provide the investment management and credit communities with an innovative, user-friendly suite of products that, through detailed market and client insights, help their business to grow in over 50 countries.
We are transforming the financial services community which is in constant evolution.
With our agility, we make technology simple & accessible for our users. Let’s work together to achieve the best solutions for our clients.
Commitment to Diversity
We recognize, celebrate, and seek to increase diversity across our organization. Diversity is an asset to organizations and is linked to better performance. It is an integral part of how we do business and imperative to our success. As an international Group, we also believe that our people need to reflect our clients and local communities.
Linedata is an Equal Opportunity Employer. We are committed to complying with all federal, state, and local laws providing equal employment opportunities, and all other employment laws and regulations.
It is our intent to maintain a work environment that is free of harassment, discrimination, or retaliation based on an individual's race, color, religion, religious creed, national origin, ancestry, citizenship, physical or mental disability, medical condition, genetic information, marital status, sex, gender, age, sexual orientation, veteran and/or military status, protected medical leaves, domestic violence victim status, political affiliation, or any other status protected by federal, state, or local laws.
Job Description
Linedata est éditeur mondial de logiciels, fournisseur de services et données à valeur ajoutée dédié au secteur financier. Linedata accompagne ses clients gestionnaires d’actifs, traditionnels ou alternatifs, administrateurs de fonds et institutions de crédits et financements, dans leurs défis, grâce à des solutions innovantes et efficaces.
Avec plus de 25 ans d’expérience dans le domaine de la FinTech, Linedata propose à ses équipes tout au long de leur carrière la possibilité de construire une forte expertise alliant finance et technologie dans un environnement international stimulant.
Nous Humanisons La Technologie
Parce que nous sommes indépendants, fiables, accessibles et engagés, parce que nos équipes sont soudées, à l'écoute, attentionnées et passionnées, parce que nos experts sont à la fois des partenaires spécialisés et attentifs, nous nous surpassons pour créer des solutions globales de leadership.
Stimulés par un environnement en transformation et par nos clients qui ont besoin de s’y adapter, enthousiasmés par les entreprises collaboratives partageant notre esprit entrepreneurial et nos ambitions, nous révélons leur puissance créative pour faire circuler l'argent et alimenter l'économie, nous aidons les gens à développer leurs capacités et leur dignité pour les générations futures.
Contexte du poste
Dans le cadre de sa croissance,
Linedata
, éditeur de référence dans le domaine de l’Asset Management et les crédits & Financement destinés aux
institutions financières
, recherche un
Data Scientist / ML Engineer
passionné par la donnée et l’intelligence artificielle.
Vous intégrerez une équipe déjà en place, qui collabore avec les experts métiers et les équipes de développement, pour concevoir, mettre en œuvre et industrialiser des modèles analytiques au service de la performance et de la prise de décision.
Job Requirement
Missions principales
Concevoir, développer et déployer des modèles de machine learning et d’IA générative répondant aux besoins des métiers financiers ;
Analyser et valoriser les données internes et externes afin de générer des insights exploitables ;
Participer à la constitution et à la structuration des data pipelines en collaboration avec les Data Engineers ;
Contribuer à la mise en place de solutions d’industrialisation et de monitoring des modèles ;
Collaborer étroitement avec les équipes produit et les experts métiers pour traduire les besoins fonctionnels en solutions data ;
Réaliser des études exploratoires, prototypes et POC pour valider les approches analytiques ;
Assurer une veille technologique sur les nouvelles méthodes et outils d’analyse de données.
Compétences techniques requises
Maîtrise des langages de programmation Python (pandas, scikit-learn, PyTorch, TensorFlow, etc.) ;
Solide compréhension des techniques de machine learning, deep learning et statistiques appliquées ;
Bonne connaissance des bases de données SQL / NoSQL et des environnements cloud (AWS, Azure, GCP) ;
La connaissance d’outils de data visualisation (Power BI, Tableau, Plotly, etc.) est un plus ;
Connaissance des bonnes pratiques d’industrialisation (Git, CI/CD, APIs, Docker, etc.) ;
La connaissance du domaine financier (marchés, risques, conformité, asset management, etc.) est un atout majeur.
Profil recherché
Diplôme d’ingénieur ou Master (Bac+5) en data science, mathématiques appliquées, informatique, statistiques ou équivalent ;
Expérience de 2 à 5 ans minimum dans un poste similaire (une première expérience dans le secteur financier est un plus) ;
Bonne maîtrise des modèles NLP / IA générative open source (manage services et déploiement local) ;
Solides capacités analytiques et rigueur scientifique ;
Esprit d’équipe, sens du service et excellente communication ;
Curiosité technologique et envie de travailler dans un environnement innovant et collaboratif.
Engagement Pour La Diversité
Nous reconnaissons, célébrons et cherchons à accroître la diversité dans notre organisation. La diversité est un atout pour les organisations et est liée à une meilleure performance. Elle fait partie intégrante de notre façon de travailler et est impérative pour notre succès. En tant que Groupe international, nous pensons également que nos collaborateurs doivent refléter nos clients et les communautés locales.
Linedata est un employeur qui respecte l'égalité des chances. Nous nous engageons à respecter toutes les lois fédérales, étatiques et locales prévoyant l'égalité des chances en matière d'emploi, ainsi que toutes les autres lois et réglementations en la matière.
Nous nous engageons maintenir un environnement de travail exempt de harcèlement, de discrimination ou de représailles fondés sur la race, la couleur, la religion, la croyance religieuse, l'origine nationale, l'ascendance, la citoyenneté, le handicap physique ou mental, la condition médicale, l'information génétique, le statut marital, le sexe, le genre, l'âge, l'orientation sexuelle, le statut de vétéran et/ou de militaire, les congés médicaux protégés, le statut de victime de violence domestique, l'affiliation politique ou tout autre statut protégé par les lois fédérales, provinciales ou locales.
Show more
Show less",Engineering and Information Technology
